#kx 	 Dy 	 DP 	 WW 	 (DP-WW)/DP 
51.0509	58.1195	-0.000180068	-0.000336052	-0.866257
51.0509	59.6903	-0.000143268	-7.60081e-05	0.469471
51.0509	61.2611	-8.09939e-05	0.000186654	3.30454
51.0509	62.8319	6.95417e-05	0.000448893	-5.45501
51.0509	64.4026	-0.000194592	0.000536172	3.75536
51.0509	65.9734	-0.000821656	0.000180341	1.21949
51.0509	67.5442	-0.000767509	-0.000238284	0.689536
51.0509	69.115	-6.82217e-05	-0.000116333	-0.705219
51.0509	70.6858	0.000270993	0.000176364	0.349194
51.0509	72.2566	0.00017372	-0.000235651	2.35649
51.0509	73.8274	-0.000316376	-0.000946277	-1.99098
51.0509	75.3982	-0.000113548	-0.000885155	-6.79544
51.0509	76.969	0.000837849	-0.000228426	1.27263
51.0509	78.5398	0.000539025	0.000239575	0.55554
51.0509	80.1106	-0.000143202	0.000271407	2.89527
51.0509	81.6814	0.000216453	0.000208376	0.0373147
51.0509	83.2522	0.000751738	0.000204667	0.727742
51.0509	84.823	0.000687401	0.000605874	0.118602
51.0509	86.3938	0.000315062	0.000333776	-0.0593977
51.0509	87.9646	-5.84293e-05	-0.000625282	-9.70151
51.0509	89.5354	-0.000361623	-0.00100992	-1.79274
51.0509	91.1062	-8.63177e-05	-0.00136336	-14.7946
51.0509	92.677	0.000269468	-0.000869371	4.22625
51.0509	94.2478	0.000153218	0.00047614	-2.10759
51.0509	95.8186	-0.000231867	0.000295162	2.27298
51.0509	97.3894	-4.67719e-05	-0.000589041	-11.5939
51.0509	98.9602	0.000484232	-0.000367151	1.75821
51.0509	100.531	0.000562095	0.000364038	0.352355
51.0509	102.102	0.000434713	0.000638866	-0.469627
51.0509	103.673	0.000238477	0.00104629	-3.38741
51.0509	105.243	-0.000196503	0.000830349	5.22563
51.0509	106.814	-0.000136445	0.000325021	3.38207
51.0509	108.385	0.000294746	0.000998568	-2.3879
51.0509	109.956	0.000134237	0.00106226	-6.91336
51.0509	111.527	-0.000186352	0.000277813	2.49079
51.0509	113.097	-1.3226e-05	-0.000190363	-13.3931
51.0509	114.668	0.000346789	-0.000403923	2.16475
51.0509	116.239	0.000150431	-0.00094676	7.29364
51.0509	117.81	-0.000310456	-0.00185697	-4.98142
51.0509	119.381	-0.000369906	-0.00292063	-6.8956
51.0509	120.951	0.000141518	-0.00446466	32.5483
51.0509	122.522	0.000486432	-0.00541498	12.132
51.0509	124.093	7.05599e-05	-0.00331737	48.015
51.0509	125.664	-0.000417139	-0.000205539	0.507266
51.0509	127.235	-0.000449557	0.00100033	3.22516
51.0509	128.805	-0.000494236	0.000789974	2.59837
51.0509	130.376	-0.000489855	0.000679339	2.38682
51.0509	131.947	-0.000144097	0.000604788	5.19708
51.0509	133.518	0.000316638	0.000774157	-1.44493
51.0509	135.088	0.000564968	-0.0006611	2.17016
51.0509	136.659	0.000410304	-0.00203553	5.96104
51.0509	138.23	5.13579e-05	-0.00146055	29.4387
51.0509	139.801	-7.98006e-05	0.000506318	7.34479
51.0509	141.372	-0.000121007	0.00264912	22.8922
51.0509	142.942	-0.000336248	0.00201408	6.98986
51.0509	144.513	-0.000564848	-0.000104773	0.814512
51.0509	146.084	-0.000489231	-0.000432229	0.116514
51.0509	147.655	-0.000152783	0.000447357	3.92806
51.0509	149.226	9.32997e-05	0.00133087	-13.2644
51.0509	150.796	0.000307232	0.00158936	-4.17316
51.0509	152.367	0.000596631	-0.00249021	5.17379
51.0509	153.938	0.000688728	-0.00685195	10.9487
51.0509	155.509	0.000688959	-0.00434418	7.30543
51.0509	157.08	0.000654491	7.36074e-05	0.887535
51.0509	158.65	0.000506358	1.33827e-05	0.973571
51.0509	160.221	0.000500757	-0.00325865	7.50744
51.0509	161.792	0.00079929	-0.00534556	7.68788
51.0509	163.363	0.00137662	-0.00418924	4.04314
51.0509	164.934	0.00173705	-0.00152098	1.87561
51.0509	166.504	0.00129021	-2.62072e-05	1.02031
51.0509	168.075	0.000228475	-0.000113858	1.49834
51.0509	169.646	-0.00034595	0.00317115	10.1665
51.0509	171.217	-7.84829e-05	0.00782325	100.681
51.0509	172.788	4.03346e-05	0.00935093	-230.834
51.0509	174.358	-0.00062108	0.0110953	18.8646
51.0509	175.929	-0.00130968	0.00965319	8.37063
51.0509	177.5	-0.00132169	-0.00234316	-0.77285
51.0509	179.071	-0.000801	-0.00772495	-8.64414
51.0509	180.642	-0.000202025	0.000700638	4.46807
51.0509	182.212	0.000734427	-0.00393032	6.35155
51.0509	183.783	0.00158351	-0.0193341	13.2096
51.0509	185.354	0.000313258	-0.0187035	60.7064
51.0509	186.925	-0.00181797	-0.00684869	-2.76721
51.0509	188.496	-0.00242813	0.00171917	1.70802
51.0509	190.066	-0.00172218	-0.00071484	0.584921
51.0509	191.637	-0.000849774	-0.01014	-10.9326
51.0509	193.208	-0.00157915	-0.0180633	-10.4386
51.0509	194.779	-0.00206371	-0.0224545	-9.88065
51.0509	196.35	-0.00018813	-0.0216518	-114.089
51.0509	197.92	-4.62581e-07	0.0157581	34066.5
51.0509	199.491	0.000632106	0.0109965	-16.3967

51.8363	0	-0.0135449	-9.23268e-05	0.993184
51.8363	1.5708	0.00810856	-6.94798e-05	1.00857
51.8363	3.14159	-0.00147558	1.50559e-05	1.0102
51.8363	4.71239	0.00742303	-0.00022374	1.03014
51.8363	6.28319	0.0207574	-9.66097e-05	1.00465
51.8363	7.85398	0.0126044	-0.000103611	1.00822
51.8363	9.42478	0.00498271	-7.18236e-05	1.01441
51.8363	10.9956	0.00188137	-7.24601e-05	1.03851
51.8363	12.5664	0.00261299	-0.000172861	1.06615
51.8363	14.1372	0.0110779	-0.000365262	1.03297
51.8363	15.708	0.012017	-0.0003436	1.02859
51.8363	17.2788	0.00321897	-3.23554e-05	1.01005
51.8363	18.8496	-0.0028057	-1.97685e-05	0.992954
51.8363	20.4204	-0.00336209	2.99099e-05	1.0089
51.8363	21.9911	-0.00374193	0.000103395	1.02763
51.8363	23.5619	-0.00340778	0.000113369	1.03327
51.8363	25.1327	-0.00155359	5.77299e-05	1.03716
51.8363	26.7035	-0.0019875	-0.000310386	0.843831
51.8363	28.2743	-0.00510714	-0.000384464	0.92472
51.8363	29.8451	-0.00480749	5.38896e-05	1.01121
51.8363	31.4159	-0.00245757	0.000339604	1.13819
51.8363	32.9867	-0.00101286	-3.87102e-05	0.961781
51.8363	34.5575	-0.00091149	-0.000119758	0.868613
51.8363	36.1283	-0.00111723	-3.12104e-05	0.972065
51.8363	37.6991	-0.00100531	-0.000164971	0.835901
51.8363	39.2699	-7.28039e-05	-0.000252731	-2.4714
51.8363	40.8407	0.000449627	-0.000644495	2.4334
51.8363	42.4115	0.000424497	-0.00060445	2.42392
51.8363	43.9823	0.000174187	0.00017793	-0.021485
51.8363	45.5531	-0.000161295	0.000492519	4.05352
51.8363	47.1239	-0.000628405	8.02365e-05	1.12768
51.8363	48.6947	-0.000821022	-0.000284117	0.653948
51.8363	50.2655	-0.000534637	-0.000607357	-0.136018
51.8363	51.8363	-0.000253398	-0.000511341	-1.01793
51.8363	53.4071	-1.21416e-05	-0.000157619	-11.9817
51.8363	54.9779	0.000238363	-7.39502e-05	1.31024
51.8363	56.5487	0.000168102	-0.000152703	1.90839
51.8363	58.1195	-0.00030616	-0.000185407	0.394413
51.8363	59.6903	-0.000645219	-5.41634e-05	0.916054
51.8363	61.2611	-0.000485754	6.66286e-05	1.13717
51.8363	62.8319	-0.000249459	0.000166258	1.66647
51.8363	64.4026	-0.000433565	0.000431384	1.99497
51.8363	65.9734	-0.00083938	0.00021988	1.26195
51.8363	67.5442	-0.000573716	-0.000348796	0.39204
51.8363	69.115	-2.2458e-05	-0.00037742	-15.8056
51.8363	70.6858	0.000311879	8.00942e-05	0.743188
51.8363	72.2566	8.95384e-05	-9.95012e-05	2.11127
51.8363	73.8274	-0.000461937	-0.00105473	-1.28329
51.8363	75.3982	-9.15431e-06	-0.0013846	-150.251
51.8363	76.969	0.000929374	-0.000681042	1.7328
51.8363	78.5398	0.000607463	-0.000215142	1.35416
51.8363	80.1106	-0.000137868	-0.000125289	0.0912406
51.8363	81.6814	0.000105908	0.00039971	-2.77411
51.8363	83.2522	0.000513352	0.00071653	-0.395787
51.8363	84.823	0.000558301	0.000588385	-0.0538858
51.8363	86.3938	0.000387864	-7.96658e-05	1.2054
51.8363	87.9646	-1.6442e-05	-0.00064599	-38.289
51.8363	89.5354	-0.000161676	-0.000514481	-2.18217
51.8363	91.1062	9.07291e-05	-0.000858004	10.4568
51.8363	92.677	0.000282068	-0.000739663	3.62229
51.8363	94.2478	2.74856e-05	0.00033688	-11.2566
51.8363	95.8186	-3.42601e-05	1.18348e-05	1.34544
51.8363	97.3894	0.000327029	-0.000934192	3.8566
51.8363	98.9602	0.000591466	-0.000252548	1.42699
51.8363	100.531	0.000405025	0.000476518	-0.176515
51.8363	102.102	0.000414049	0.000161831	0.609151
51.8363	103.673	0.000388154	0.00042058	-0.0835383
51.8363	105.243	3.75783e-05	0.000397718	-9.58371
51.8363	106.814	0.000163559	0.000130884	0.199777
51.8363	108.385	0.00047082	0.000649	-0.378448
51.8363	109.956	0.000101394	0.000656115	-5.47093
51.8363	111.527	-0.000319229	6.53196e-05	1.20462
51.8363	113.097	6.20626e-05	-0.00049325	8.94761
51.8363	114.668	0.000396844	-0.000934259	3.35422
51.8363	116.239	3.0982e-07	-0.000977826	3157.11
51.8363	117.81	-0.000601878	-0.00180321	-1.99597
51.8363	119.381	-0.000594052	-0.00326482	-4.49584
51.8363	120.951	-3.24711e-05	-0.00449018	-137.282
51.8363	122.522	0.000351257	-0.00472832	14.4611
51.8363	124.093	5.65375e-05	-0.00234645	42.5025
51.8363	125.664	-0.000181869	0.00078174	5.29836
51.8363	127.235	-3.13623e-05	0.00159216	51.7665
51.8363	128.805	-0.000168329	0.000920942	6.47109
51.8363	130.376	-0.000315343	-0.000141657	0.550783
51.8363	131.947	1.98831e-05	0.00027776	-12.9697
51.8363	133.518	0.000497899	0.000932529	-0.872928
51.8363	135.088	0.000735303	1.12615e-05	0.984685
51.8363	136.659	0.000469233	-0.00147949	4.153
51.8363	138.23	6.09294e-05	-0.0012024	20.7343
51.8363	139.801	7.32876e-05	0.000359753	-3.90879
51.8363	141.372	0.000224856	0.00102648	-3.56507
51.8363	142.942	-3.00902e-06	0.000863492	287.968
51.8363	144.513	-0.000439526	0.000507808	2.15535
51.8363	146.084	-0.000415079	-0.000656337	-0.581234
51.8363	147.655	9.21314e-05	-0.00212971	24.1161
51.8363	149.226	0.000434527	-0.00158712	4.65253
51.8363	150.796	0.000532102	-0.000147786	1.27774
51.8363	152.367	0.00052712	-0.00130588	3.47739
51.8363	153.938	0.000404934	-0.00332245	9.20491
51.8363	155.509	0.000350624	-0.00293757	9.37812
51.8363	157.08	0.00034676	-0.00166246	5.79426
