#b 	 momk 	 non Elliptic 	 Smat 	 Smat Fderiv 	 Smat Sderiv 
2.56326	0.222222	0.0834416	36.3992	3.70963	-7.97837
2.60746	0.222222	0.156386	36.5556	3.37244	-7.27946
2.65165	0.222222	0.094566	36.6974	3.04258	-7.64963
2.69584	0.222222	0.204013	36.8247	2.72609	-6.67441
2.74004	0.222222	0.0839481	36.9384	2.41252	-7.51412
2.78423	0.222222	0.276384	37.0382	2.11627	-5.89404
2.82843	0.222222	0.076578	37.1255	1.82306	-7.37334
2.87262	0.222222	0.352273	37.1996	1.54734	-5.10529
2.91682	0.222222	0.0272487	37.2622	1.26701	-7.57967
2.96101	0.222222	0.449143	37.3119	1.00753	-4.16423
3.0052	0.222222	-0.0508993	37.3511	0.738193	-8.02552
3.0494	0.222222	0.526707	37.3774	0.486046	-3.38387
3.09359	0.222222	-0.174735	37.3938	0.216049	-8.83592
3.13779	0.222222	0.585709	37.3967	-0.0399924	-2.74968
3.18198	0.222222	-0.260964	37.3901	-0.307326	-9.3496
3.22617	0.222222	0.627359	37.3697	-0.563697	-2.25351
3.27037	0.222222	-0.388567	37.34	-0.83864	-10.1874
3.31456	0.222222	0.653702	37.2957	-1.1051	-1.87222
3.35876	0.222222	-0.57409	37.2419	-1.40001	-11.4724
3.40295	0.222222	0.685985	37.1721	-1.68512	-1.43112
3.44715	0.222222	-0.773713	37.0925	-2.00085	-12.8555
3.49134	0.222222	0.680321	36.9953	-2.31303	-1.27361
3.53553	0.222222	-0.945857	36.8877	-2.65061	-14.0049
3.57973	0.222222	0.649505	36.761	-2.98881	-1.29822
3.62392	0.222222	-1.1779	36.623	-3.36233	-15.6067
3.66812	0.222222	0.658261	36.4639	-3.72908	-0.988702
3.71231	0.222222	-1.47807	36.2927	-4.14253	-17.7234
3.7565	0.222222	0.630718	36.0978	-4.55485	-0.937957
3.8007	0.222222	-1.78387	35.8894	-5.01437	-19.8548
3.84489	0.222222	0.598431	35.6546	-5.47283	-0.89446
3.88909	0.222222	-2.11691	35.4049	-5.98254	-22.1698
3.93328	0.222222	0.552706	35.1258	-6.4928	-0.923706
3.97748	0.222222	-2.43259	34.8303	-7.05056	-24.3144
4.02167	0.222222	0.464103	34.5025	-7.61556	-1.25727
4.06586	0.222222	-2.72882	34.1566	-8.22378	-26.2702
4.11006	0.222222	0.338547	33.7754	-8.84516	-1.84655
4.15425	0.222222	-3.00787	33.3742	-9.5058	-28.0534
4.19845	0.222222	0.215552	32.935	-10.1784	-2.37943
4.24264	0.222222	-3.3144	32.4739	-10.8942	-30.0163
4.28683	0.222222	0.126221	31.9721	-11.615	-2.60941
4.33103	0.222222	-3.5881	31.4467	-12.3729	-31.6854
4.37522	0.222222	-0.00312447	30.8783	-13.142	-3.12036
4.41942	0.222222	-3.80107	30.2847	-13.9367	-32.8407
4.46361	0.222222	-0.167264	29.6462	-14.7479	-3.87268
4.50781	0.222222	-3.9216	28.981	-15.568	-33.2348
4.552	0.222222	-0.379289	28.2698	-16.4122	-4.97342
4.59619	0.222222	-3.95388	27.5306	-17.2491	-32.9038
4.64039	0.222222	-0.589025	26.7448	-18.1095	-6.03109
4.68458	0.222222	-3.95534	25.9301	-18.9566	-32.3055
4.72878	0.222222	-0.7522	25.069	-19.8186	-6.69998
4.77297	0.222222	-3.93412	24.1786	-20.6628	-31.5095
4.81716	0.222222	-0.878928	23.2427	-21.5151	-7.06453
4.86136	0.222222	-3.80949	22.2774	-22.3317	-29.8853
4.90555	0.222222	-1.04209	21.2686	-23.1623	-7.70759
4.94975	0.222222	-3.60947	20.2308	-23.9439	-27.658
4.99394	0.222222	-1.16587	19.1521	-24.7326	-8.03596
5.03814	0.222222	-3.33424	18.0456	-25.4591	-24.8374
5.08233	0.222222	-1.31823	16.9016	-26.1977	-8.59225
5.12652	0.222222	-2.92795	15.7315	-26.8513	-20.9879
5.17072	0.222222	-1.44078	14.5281	-27.5123	-8.9249
5.21491	0.222222	-2.53645	13.3009	-28.0911	-17.2676
5.25911	0.222222	-1.45057	12.0453	-28.658	-8.38333
5.3033	0.222222	-2.15752	10.769	-29.1452	-13.6666
5.3475	0.222222	-1.39963	9.46948	-29.6104	-7.3843
5.39169	0.222222	-1.79301	8.15287	-29.999	-10.2035
5.43588	0.222222	-1.2109	6.81884	-30.3421	-5.32598
5.48008	0.222222	-1.45774	5.47197	-30.6146	-7.0042
5.52427	0.222222	-1.00947	4.11351	-30.8401	-3.20034
5.56847	0.222222	-1.12042	2.74705	-30.9953	-3.82289
5.61266	0.222222	-0.666928	1.37488	-31.0798	4.44089e-16

0.0441942	0.333333	2.7484	16.5127	0.233344	9.08155
0.0883883	0.333333	2.513	16.5309	0.568095	6.06754
0.132583	0.333333	6.07125	16.5698	1.37032	30.2367
0.176777	0.333333	2.11522	16.6494	1.99466	-1.98215
0.220971	0.333333	5.20132	16.7436	2.44901	22.5435
0.265165	0.333333	1.51058	16.8645	2.81084	-6.16865
0.309359	0.333333	5.96748	16.9941	3.3122	28.8578
0.353553	0.333333	0.409957	17.1545	3.62628	-14.644
0.397748	0.333333	3.77984	17.3095	3.59258	13.119
0.441942	0.333333	-0.0738308	17.4715	3.52191	-16.3172
0.486136	0.333333	6.19901	17.6273	3.89284	33.1034
0.53033	0.333333	2.43523	17.8217	4.67921	2.48385
0.574524	0.333333	4.19623	18.0354	5.0932	16.2513
0.618718	0.333333	2.278	18.2714	5.47478	1.01718
0.662913	0.333333	5.26082	18.5219	6.03215	24.2064
0.707107	0.333333	5.58781	18.8126	7.13425	25.669
0.751301	0.333333	2.89564	19.1459	7.78953	3.98572
0.795495	0.333333	2.97317	19.4943	7.98313	4.77566
0.839689	0.333333	3.4893	19.8531	8.28445	8.86068
0.883883	0.333333	4.75001	20.231	8.8881	18.4573
0.928078	0.333333	3.45541	20.6384	9.47065	7.90564
0.972272	0.333333	1.72847	21.0603	9.52364	-5.50793
1.01647	0.333333	2.92141	21.479	9.49429	4.17983
1.06066	0.333333	2.98414	21.9028	9.69029	4.69113
1.10485	0.333333	3.74255	22.3375	10.027	10.5468
1.14905	0.333333	3.14304	22.7894	10.3849	5.64997
1.19324	0.333333	2.66726	23.2526	10.5514	1.88272
1.23744	0.333333	1.74785	23.7185	10.4779	-5.20841
1.28163	0.333333	3.16648	24.1801	10.4968	6.06464
